,Brain.e10.5,Brain.e11.5,Brain.e12.5,Brain.e13.5,Brain.e14.5,Brain.e15.5,Brain.e16.5,Brain.e17.5,Brain.e18.5,Brain.P0,Brain.P3,Brain.P14,Brain.P28,Brain.P63,Cerebellum.e13.5,Cerebellum.e14.5,Cerebellum.e15.5,Cerebellum.e16.5,Cerebellum.e17.5,Cerebellum.e18.5,Cerebellum.P0,Cerebellum.P3,Cerebellum.P14,Cerebellum.P28,Cerebellum.P63,Heart.e10.5,Heart.e11.5,Heart.e12.5,Heart.e13.5,Heart.e14.5,Heart.e15.5,Heart.e16.5,Heart.e17.5,Heart.e18.5,Heart.P0,Heart.P3,Heart.P14,Heart.P28,Heart.P63,Kidney.e11.5,Kidney.e12.5,Kidney.e13.5,Kidney.e14.5,Kidney.e15.5,Kidney.e16.5,Kidney.e17.5,Kidney.e18.5,Kidney.P0,Kidney.P3,Kidney.P14,Kidney.P28,Kidney.P63,Liver.e10.5,Liver.e11.5.2,Liver.e12.5,Liver.e13.5,Liver.e14.5,Liver.e15.5,Liver.e16.5,Liver.e17.5,Liver.e18.5,Liver.P0,Liver.P3,Liver.P14,Liver.P28,Liver.P63,Ovary.e10.5,Ovary.e11.5,Ovary.e12.5,Ovary.e13.5,Ovary.e14.5,Ovary.e15.5,Ovary.e16.5,Ovary.e17.5,Ovary.e18.5,Ovary.P0,Ovary.P3,Ovary.P14,Ovary.P28,Ovary.P63,Testis.e10.5,Testis.e11.5,Testis.e12.5,Testis.e13.5,Testis.e14.5,Testis.e15.5,Testis.e16.5,Testis.e17.5,Testis.e18.5,Testis.P0,Testis.P3,Testis.P14,Testis.P28,Testis.P63
Rpl13,14.92454375,14.41220289,8.542615603,7.253157332,7.762502019,7.2653014,6.725308553,5.909303886,9.48637142,6.43597398,5.766883261,4.335807988,4.19550034,3.835512798,6.665196673,6.382745174,6.452209259,7.051380222,5.447960162,8.758899783,5.884255921,6.485139689,3.923827249,3.514702213,3.727636329,18.02468561,18.25399231,11.1062791,10.17084361,13.03060208,12.85990233,13.60902452,10.85898404,10.85585436,13.15879825,10.80606057,7.252681395,6.931419731,9.007264777,16.05934226,13.77871118,13.88719358,15.62749633,14.76044023,14.46557739,13.47753185,14.23057155,14.7513012,14.23147265,7.300259503,5.006467147,6.773196261,17.08350559,15.5896197,18.93548886,20.85899653,20.97370839,19.97783085,19.24230008,24.68255744,23.45533268,12.89516657,12.36950609,8.287704034,6.997859243,7.207200401,13.54713585,12.24291399,10.41708469,12.16947444,13.06580053,11.10698131,9.95735963,11.78495217,15.75017431,12.98079165,8.696446892,12.67070214,10.39134544,9.753814286,10.91757605,13.20970111,9.85141852,12.44992801,13.51590826,9.457873952,9.391890057,9.992425077,13.23278552,9.17683664,8.681901246,6.281034402,3.367518696,3.924631235
Rpl3l,0.019005994,0.019857154,0.019029631,0.018229415,0.030298319,0.072396139,0.051382205,0.039197794,0.063564751,0.080893478,0.075507337,0.383596615,0.105216747,0.270720414,0.083678942,0.080775585,0.094528484,0.056290464,0.08215106,0.070760251,0.111826825,0.123876177,0.464245933,0.359562495,0.370014025,0.183314958,0.163547672,0.216920912,0.367461115,0.301289833,0.281854963,0.646241636,1.067135494,1.403651298,3.395301015,5.334928455,82.50230135,172.1909293,299.7472881,0.053114259,0.026614273,0.048713729,0.0557927,0.045606922,0.041873539,0.067330503,0.136156528,0.243891571,0.248472898,0.351049293,0.73693639,1.132405149,0.031396161,0.014820294,0.010117915,0.036524313,0,0,0.028420611,0,0.185996954,0.128620982,0.121330517,0.036836429,0.167329751,0.118450866,0.027688193,0.539697119,0.344166702,0.369809739,0.333499306,0.183661631,0.327007504,0.147532643,0.101880889,0.14288903,0.049331864,0.02441643,0.017852632,0.048434173,0.033294727,0.175214056,0.891119101,0.48249312,0.693919202,1.777624959,2.445487113,1.27229765,1.534418911,0.892597997,0.330386939,1.492512127,0.466823355,0.321448305
Rps11,865.6279592,967.1970126,557.6415987,430.1502554,383.1036846,319.2736531,272.0978092,249.2945154,317.8357229,244.9666456,221.0177965,135.2524587,121.5415055,133.9799081,331.1594758,307.6412145,273.4719339,259.9937611,213.0016503,265.8144411,228.3910382,226.4503686,129.126367,123.7049983,114.2686919,821.216102,725.560497,484.6616223,508.6885673,551.1405588,509.6599145,488.1672792,428.0710873,422.9868433,408.046113,390.3759146,346.8085699,326.9959181,313.5618082,638.1410328,637.6456545,601.2936627,598.1729647,544.7419095,529.8604857,537.1185266,505.7818368,468.1660976,449.3601789,314.3798574,261.8286396,267.4565369,845.4996384,801.1064712,845.38488,682.7320647,747.6653382,633.9869237,523.5067632,567.0707183,538.2120851,448.9249741,463.8906721,330.0013532,352.7177731,310.3877303,746.6893047,624.9998686,584.8802401,571.4646667,649.8984922,531.4278486,525.5266008,476.1035644,432.7869173,512.2915242,460.0202025,580.9572971,497.0133283,433.4534766,651.1951969,555.9803944,624.9041504,624.5525828,587.6559493,500.5466874,471.2880289,452.6771439,406.6725913,469.5878473,492.0063332,264.8704185,149.3753316,152.5600045
Rpl8,1151.385426,865.8929444,536.0646901,505.2520035,548.3277088,434.2790853,434.1491775,407.0674267,377.9212057,338.5913538,331.5384373,185.2927091,196.7933073,218.5273202,428.4008007,450.1896345,393.311833,351.8445749,401.9017358,318.7300296,332.2682235,363.3840003,227.8522994,198.1210713,207.6851615,1029.844412,810.6710679,618.549278,674.4358801,608.938938,633.5270643,536.6924483,522.2940165,535.7864347,538.5619305,489.6472724,354.2538101,326.316284,423.6627811,850.9607591,858.7241593,834.7981195,699.1677907,662.0416365,681.3209753,628.3793765,613.0545661,606.9477195,514.731465,353.2006535,405.7078037,366.3092498,1339.056547,1095.494375,1520.364034,1432.575053,1530.872029,1175.577052,917.5709658,883.172293,615.9396455,836.2138123,920.1999216,497.0324758,514.2794864,579.4781918,945.2950885,766.490319,702.4472405,752.863493,792.7187184,722.5871953,584.8298278,709.5115921,623.943904,685.9379466,599.2655196,699.5827534,658.5790102,613.9805102,793.879499,767.8010638,923.5943895,873.2692972,946.7394122,772.9067339,702.1812021,668.0303332,578.1771694,595.6731604,533.5305973,358.34051,275.9941261,252.4206676
Rps9,299.5015451,236.4049562,158.3504015,157.5388624,160.4704592,124.4615472,122.3075078,101.4326612,108.4128645,82.71124037,83.34326038,50.04056435,45.57835157,47.59904201,130.0718762,126.3881637,102.7278262,84.48346034,100.4654558,85.96308185,81.05072499,96.70935901,57.59009306,58.34246297,53.4619721,247.1490333,194.4484834,171.0533081,201.9041474,164.745106,179.2125417,153.6499168,150.1791533,158.928218,157.5959114,144.3121826,110.5341174,107.5035838,129.4010433,238.3708665,225.7632812,240.8865265,196.6772693,191.7601285,206.6533111,185.6033704,190.570291,181.6399833,160.3357841,113.6053655,98.00069664,81.48539138,329.9995535,236.2909636,338.5563493,320.9715236,356.1108586,271.423857,216.5359774,197.3011543,196.3197589,240.1570826,250.6532076,144.2839406,139.9411095,159.405319,213.1099237,205.3959013,191.6116612,196.6047063,232.4469672,196.5646974,177.9139786,206.5743737,181.7742378,181.7056753,151.7158641,233.4310932,208.008451,195.7675142,179.9948432,172.820237,186.1781832,201.9494696,227.5399078,171.3806967,137.3260695,157.744975,166.8723695,141.0259746,124.5013755,68.44483674,37.99292942,36.9204811
Rpl10,13.64430229,15.3500563,11.35202259,11.11620181,9.409821906,9.42576782,10.13266927,8.23116052,9.687016432,7.915788637,8.493996261,3.054101835,3.351587866,3.666057964,9.649687466,8.405733545,8.998418949,9.108205438,6.912945781,7.310989062,6.966965802,7.909527496,4.166470763,3.869397686,3.980900698,13.27050567,12.15610336,7.989968936,11.36865315,9.306817938,11.48722044,10.44586491,10.77495236,9.533078204,9.739139588,9.950549345,6.80654553,4.929694756,6.438297376,14.72672197,15.75579246,14.52915378,13.49932405,13.3234679,13.54929727,12.85597616,11.10100328,12.75490317,12.12224482,8.014776825,6.586266315,6.932258339,19.30028068,14.00950498,23.53333081,23.44256042,22.38263697,19.70067429,20.29235816,16.96372842,16.398596,14.10037116,17.03985534,15.58788186,13.50146869,12.29907418,18.5143474,11.73473413,11.45527277,12.06682581,13.48288394,13.04139841,11.28060637,11.37063896,11.82444577,15.28368417,12.6246597,15.41215253,16.10670426,13.45949355,12.85050868,10.51857946,9.222521771,12.52542042,11.25187066,11.10660899,9.783055834,11.16151013,11.83329623,11.16273683,9.863295449,4.527712902,0.974088321,0.699394108
Rps15a,56.01050867,62.55374358,36.87803853,34.26519161,33.72919678,31.92295021,41.50817899,31.76737101,35.03438471,33.15884539,32.428874,15.43219743,16.50253423,17.82332854,30.79902984,29.82943066,29.60027255,33.38452504,26.62485245,31.86111001,31.06171112,36.85931179,19.22812098,20.41765607,20.98825777,43.46960022,42.34297313,30.29939786,35.85060992,26.99703497,32.45864664,31.58798455,27.46229592,29.99326272,29.04512283,26.33876229,18.94259964,17.5946874,21.27389934,35.57148311,39.22480508,41.38376347,28.36000005,32.98684179,36.3214557,29.23631265,32.26032217,36.75122832,32.85748199,18.72742288,14.69271101,14.21218403,63.66695947,35.45953324,54.97003074,57.87141515,62.70225671,50.93555499,55.83800282,43.39431363,49.79306262,42.48328261,43.76160805,28.14616235,24.37201355,22.37546272,33.13472192,38.12049655,36.59994968,37.84924314,55.09449563,41.55480083,49.73465877,35.20176454,35.68791058,48.77846086,33.56417326,38.48474558,38.08244298,32.85754949,27.739775,28.05084964,41.77668295,40.40877532,42.12133723,40.32266227,43.50575891,33.42186182,36.16767629,25.6630334,25.59636941,19.24542642,11.10924367,10.79177784
Rps25,186.6387051,225.2334903,101.5893852,88.15161929,100.0505464,101.855003,95.7849886,86.9654245,93.44441779,87.83957157,88.43074197,54.19467687,54.46882979,54.89209191,74.18631429,91.37459441,87.81402338,79.07781914,72.32897277,80.32122654,78.89113512,88.60077381,60.22598111,52.04721973,55.8785884,220.4821531,204.6227054,132.230381,131.5580783,129.6110532,140.2984869,137.4015061,133.194521,136.3982659,139.5195105,132.6346985,104.8791018,97.81265775,125.0903014,170.5909039,161.6285793,176.7909716,152.0184695,143.671036,139.568668,132.3788399,139.3041189,148.1763882,138.6338179,95.14519868,91.52834944,103.0892655,212.8431787,168.7612958,250.743561,243.4998609,320.7828732,274.089705,258.170919,247.8022524,273.9849877,223.7306035,227.2160079,149.5296396,166.0150049,174.1986208,143.9206228,125.2342721,109.8268047,118.1403901,175.1811865,138.8409393,143.7131576,138.6218964,141.1796796,178.0930406,118.8949088,154.3894624,140.7716836,124.0989208,105.3075417,103.3684784,123.0080959,133.3302566,155.7779164,134.3351898,113.0711726,117.7581534,142.2096506,121.325319,122.0617845,80.85920516,72.10016688,79.64999485
Rpl15,34.93967759,51.28170213,38.66463237,26.32711848,23.07085387,26.71543445,34.08464528,30.16502302,56.14066541,39.51342677,48.97648849,24.67959067,23.95352557,20.89806996,33.87212997,37.44183758,34.10715778,52.83717018,33.56135977,58.93042505,55.28006948,57.69658178,23.74795802,16.70576558,17.11312263,29.27422813,44.15664268,31.27822094,21.53199587,26.348018,24.08888773,23.45331414,26.17069905,23.53046492,24.16656356,30.00805846,18.67513336,26.16027249,26.36950386,40.0001925,33.14172581,31.38350972,30.28810396,28.6987762,27.89679275,27.31233172,29.09427145,27.05811136,29.42691446,20.87159535,29.28917274,26.07556789,38.5611763,39.02517889,31.94636834,26.51798285,28.07388844,19.26971054,23.17362793,21.37831645,24.86086811,16.18156106,19.01860792,18.7731612,28.58217958,23.77802522,36.48058184,39.73797145,29.76977328,26.13204894,30.08112453,18.87157412,24.26418362,16.45890013,32.57690055,27.20896816,20.57081309,23.57110849,24.95038314,18.8164615,32.72281313,38.49362391,22.5794094,24.79162275,23.17067713,16.2833382,18.59956662,15.59119729,23.65486544,14.20608771,18.26096687,7.484899162,2.437126129,2.335678859
Rps5,400.0289542,323.3581311,214.1006029,203.6414311,213.512058,186.8826643,201.502976,161.1796861,168.6526603,166.9445939,153.3633375,72.02746317,62.39491463,70.42626602,185.4296656,166.7645558,158.5958745,150.0529089,137.9019047,136.8148251,151.104984,155.4307717,66.5626761,56.11664839,63.94432779,379.3942124,314.2690724,248.6224538,282.2787301,271.3946075,266.1246719,238.4085611,221.8228114,218.4285206,202.3410207,180.1318777,140.5617962,139.1536797,154.0152787,325.9693019,318.6252798,335.4122264,293.2405412,289.260024,274.2139893,284.1468392,292.5135644,243.9519793,224.3093353,139.6101257,105.8926579,103.942191,449.7860124,434.3643232,488.5191329,582.3516349,561.3525582,457.5360461,379.191858,317.7952063,343.7050828,452.7389571,422.4672373,239.8146517,232.6396375,247.6518998,369.2006063,363.3363379,333.1199938,350.3330184,378.7703238,345.5247049,312.5535362,305.6042598,298.2635602,328.0367578,253.380956,335.6613999,249.3399474,243.8084314,316.8979592,334.2042085,323.981467,352.9574492,327.9956053,286.0922771,252.8012079,264.9401261,240.3417119,252.689424,231.9310173,126.7411358,58.51121687,52.0166651
