Gene_names,Fold.Change,pvalue
Bphl,5.404106302,1.49254E-09
Oxa1l,6.341660676,4.02029E-09
Coq5,8.649727343,4.04203E-09
Timm50,4.352260676,7.28729E-09
Ndufa1,8.280370706,4.12868E-08
Mfap5,4.033120706,1.08847E-07
Cox20,4.331760676,1.45961E-07
Maob,3.990705019,2.33653E-07
Ndufs8,8.538694009,2.77955E-07
Trmt10c,5.730556302,2.92624E-07
Dnaja3,7.957494009,9.48446E-07
Serhl,3.444060676,1.07928E-06
Apool,8.991627343,1.16419E-06
Uqcr10,5.220327343,1.31292E-06
Mrps7,4.226705019,1.65481E-06
Dnajc19,5.386370706,3.20851E-06
Fam102b,6.515520706,3.29515E-06
Park7,4.350970706,3.53043E-06
Atp5l,7.457260676,4.31277E-06
Ndufs6,6.693760676,4.87345E-06
Prdx2,-4.900578495,6.28478E-06
Tnni3,5.362470706,7.37121E-06
Ephx2,5.024270706,8.32752E-06
Tnnc1,5.728570706,8.94356E-06
Slc25a42,5.647727343,1.00956E-05
Mpst,4.470794009,1.54793E-05
Coq3,7.428060676,1.66482E-05
Dmd,3.366370706,1.7893E-05
Mrpl23,4.854994009,1.92664E-05
Kifc3,2.521370706,1.99304E-05
Cbr4,7.381160676,2.06138E-05
Tecr,5.632970706,2.56336E-05
Aldh5a1,3.400506302,2.94934E-05
Mipep,6.077156302,3.3803E-05
Mmaa,6.893227343,3.61111E-05
Agk,4.616627343,4.32669E-05
Rcc2,-4.151684994,4.56096E-05
Gstk1,6.298527343,4.72995E-05
Acsf2,8.930027343,5.38652E-05
Psma6,-4.262928495,5.52145E-05
Ndufb6,4.844660676,5.99028E-05
Ndufb7,4.561020706,6.35839E-05
Ptprb,9.420327343,6.87219E-05
Sccpdh,5.594738608,7.58184E-05
Msrb2,4.502256302,7.9003E-05
L2hgdh,4.512727343,7.97572E-05
Acot13,5.621060676,9.56204E-05
Tomm40,4.221360676,9.67054E-05
Bsg,5.218170706,9.98414E-05
Sirt4,4.005755019,0.000105839
Mtfp1,3.954260676,0.000108072
Nubpl,7.156027343,0.000109171
Ndufv2,7.426627343,0.000118195
Clpx,9.305294009,0.000145653
Mrpl38,3.363070706,0.000178732
Grpel1,5.478906302,0.000195483
Uba52;Rps27a;Ubb;Ubc,2.752156302,0.000204045
Rpl38,4.775220706,0.000209265
Sdr39u1,5.941727343,0.000209832
Mtif2,8.387380648,0.000218305
Mrps14,2.902206302,0.000226894
Hsd17b8,2.338232181,0.000247852
Pdpr,5.001894009,0.000296537
Ndufb8,5.252560676,0.000300733
Mrpl43,4.193827343,0.000309409
Atad3,5.407732181,0.000318347
Ak2,5.496627343,0.000324838
Ndufb5,5.323194009,0.00033529
Spg7,5.046994009,0.000338284
Aars2,5.745280648,0.00034755
Carkd,4.152670706,0.000355149
Gfm1,6.183194009,0.000365975
Ccdc18,6.036194009,0.000378811
Mrpl27,4.482127343,0.000415745
Clpp,3.556594009,0.000417519
Auh,3.650327343,0.000434809
Gnai2,4.870827343,0.000446645
Ndufs4,4.799860676,0.000474705
Tst,4.310606302,0.000494294
Prosc,4.205356302,0.000499582
Poldip2,3.108094009,0.000505121
Coq10b,3.754355019,0.000509532
Mrpl50,4.971327343,0.000527805
Rdh13,5.116420706,0.000537295
Akr7a2,3.646456302,0.000546139
Atp5f1,2.502457319,0.000568074
Myl3,-6.190442681,0.000596866
Mccc2,3.941990652,0.000668149
Prdx1,-4.601378495,0.000710735
Usmg5,2.526123985,0.000898772
Sdhaf1,3.559760676,0.00097954
Mtch2,2.955482181,0.000996393
Aifm1,5.237557319,0.001068754
Atpaf1,4.612427343,0.001108032
Eci1,3.638890652,0.001162443
Decr1,1.410323985,0.001178628
Ndufb3,3.514875682,0.001188923
Cox6a2,2.945423985,0.001239505
Zfyve26,-1.629309348,0.001245101
Mrpl44,4.174720706,0.001256094
